Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0711745,2015-06-16,2015-06-16,,Mani Ratnam,Dil Se..,1955-06-02
2,nm0754184,2015-06-16,2015-06-16,,S.J. Suryah,Mersal,1968-07-20
3,nm0788171,2015-06-16,2015-06-16,,S. Shankar,Enthiran,1963-08-17
4,nm5366274,2015-06-16,2015-06-16,,Karthik Subbaraj,Pizza,1983-03-19
5,nm5650589,2015-06-16,2015-06-16,,Nalan Kumarasamy,Soodhu Kavvum,1980-10-25
6,nm0801870,2015-06-16,2015-06-16,,Singeetam Srinivasa Rao,Pushpaka Vimana,1931-09-21
7,nm0536820,2015-06-16,2015-06-16,,J. Mahendran,Mullum Malarum,1939-07-25
8,nm0616114,2015-06-16,2015-06-16,,S.P. Muthuraman,Oru Oodhappu Kan Simittugiradhu,1935-04-07
9,nm4199426,2015-06-16,2015-06-16,,Mysskin,Anjathe,1971-09-20
10,nm0899649,2015-06-16,2015-06-16,,K. Viswanath,Sagara Sangamam,1930-02-19
11,nm0049335,2015-06-16,2015-06-16,,K. Balachander,Ek Duuje Ke Liye,1930-07-09
12,nm0352032,2015-06-16,2015-06-16,,Kamal Haasan,Vishwaroopam,1954-11-07
13,nm1220246,2015-06-16,2015-06-16,,Bala,Sethu,1966-07-11
14,nm1421754,2015-06-16,2015-06-16,,K. Selvaraghavan,Aayirathil Oruvan,1975-03-05
15,nm4274575,2015-06-16,2015-06-16,,Vetrimaaran,Asuran,1975-09-04
16,nm1069826,2015-06-16,2015-06-16,,Gautham Vasudev Menon,Vaaranam Aayiram,1973-02-25
17,nm3163794,2015-06-16,2015-06-16,,Pa. Ranjith,Madras,1982-12-08
18,nm1417119,2015-06-16,2015-06-16,,Ameer Sultan,Paruthiveeran,1967-12-05
19,nm0433893,2015-06-16,2015-06-16,,K.S. Ravikumar,Dasavatharam,1958-05-30
20,nm4241449,2015-06-16,2015-06-16,,M. Sasikumar,Subramaniapuram,1975-09-28
21,nm0049336,2016-06-14,2016-06-14,,Sundaram Balachander,Avana Evan,1927-01-18
22,nm0536818,2016-06-14,2016-06-14,,Balu Mahendra,Moondram Pirai,1939-05-20
23,nm1475260,2016-06-14,2016-06-14,,Balaji Sakthivel,Vazhakku Enn 18/9,
24,nm0579766,2016-06-14,2016-06-14,,Rajiv Menon,Kandukondain Kandukondain,1963-04-20
